acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.0335,-0.02053,-0.99616,0.01165,0.01125,0.06059
0.08091,0.10246,-1.01325,0.01719,0.07136,2.19186
-0.02124,-0.04539,-1.05488,-0.01911,-0.11752,2.36707
0.02209,-0.02223,-1.03243,-0.0683,-0.08944,2.52791
0.05074,-0.06094,-1.01408,0.00892,-0.09557,2.63922
0.05689,-0.04951,-0.9966,0.03046,-0.03059,2.63438
0.08647,0.12529,-1.01058,0.05544,-0.06292,2.17542
0.00075,0.07759,-1.01203,0.01245,0.00637,0.87871
0.04716,0.14665,-1.01121,0.07571,-0.02846,-0.34011
0.27235,0.0742,-0.98536,0.00079,0.05061,0.12422
0.16593,0.09959,-1.0168,-0.0296,-0.04071,0.0361
-0.36373,-0.00775,-0.99873,0.00742,-0.00401,-0.00389
0.26521,-0.00307,-0.98403,0.06769,0.05597,-0.04331
-0.11003,0.03643,-0.98102,0.03361,-0.0253,0.0406
0.02325,0.04685,-1.00762,-0.0647,0.01567,-0.00931
-0.03408,0.00621,-1.0064,-0.00139,0.0031,0.09006
-0.14493,-0.02848,-0.99937,0.00147,0.02777,-0.00116
0.15949,0.05285,-1.013,0.02602,0.02731,0.00474
-0.18626,-0.00829,-1.00274,0.0095,-0.01048,-0.04727
0.06347,0.05092,-1.00336,-0.02109,0.0071,-0.01911
-0.06345,-0.08471,-0.99882,0.0042,0.01441,0.03056
-0.02527,0.00058,-1.00218,0.0105,0.01104,0.00676
-0.00552,0.01466,-1.00081,0.00217,0.01632,0.03251
-0.0211,0.00063,-1.00407,-0.00689,0.01057,-0.01208
0.201,-0.0522,-0.99339,0.02878,0.04257,0.1306
0.24571,0.00945,-0.97637,0.01998,0.00906,0.01859
-0.3736,0.01131,-0.98141,-0.00638,0.04198,-0.18119
0.13488,0.03694,-1.00011,0.00779,0.07188,0.08513
-0.01521,0.03253,-0.98806,-0.01542,0.02414,0.06632
-0.29198,0.00451,-1.00099,0.00265,0.02896,0.00895
0.27403,0.01042,-1.00435,0.04414,0.0163,0.03541
-0.21103,0.05791,-1.01105,-0.0025,-0.03618,-0.03625
-0.03367,0.02024,-0.99854,-0.00049,0.0161,-0.04204
-0.0361,0.02724,-1.00014,0.00234,0.00771,-0.01932
0.00592,0.00959,-1.00277,0.00654,0.0099,0.05027
-0.03454,0.01475,-0.99715,0.00149,0.01421,0.01419
0.26386,0.04636,-0.98623,-0.01861,0.02104,0.00545
0.09505,0.10643,-1.04538,-0.03747,-0.14821,-0.02011
-0.3121,0.00296,-1.02888,-0.07114,-0.03,-0.10327
0.22582,-0.00467,-1.00423,0.03029,0.02805,0.14518
-0.19948,0.07433,-1.02084,-0.01784,-0.07118,-0.07164
-0.06212,-0.00515,-1.0045,0.00556,0.02134,-0.01774
0.17968,0.01089,-1.02485,-0.02479,-0.02493,0.06552
-0.30089,-0.03313,-0.97825,0.02062,-0.00652,0.00825
0.08462,0.10586,-1.00513,-0.00446,0.0153,-0.04888
-0.04757,0.03263,-1.00088,0.00501,0.02142,-0.04358
-0.03087,0.032,-1.00073,-0.0012,0.01799,-0.00512
-0.01112,0.00812,-1.0015,0.007,0.00264,0.00076
-0.22026,-0.60166,-1.05455,-0.05101,0.00212,2.19692
0.00707,-0.00375,-1.02097,-0.02448,-0.03405,2.28105
0.03647,0.00646,-0.98613,-0.00765,-0.06532,2.44168
0.07971,-0.00191,-0.97764,0.04715,-0.03088,2.46384
0.08373,-0.04526,-0.94654,0.03351,-0.01496,2.55539
0.07103,0.00449,-0.97093,0.04937,-0.0063,2.51975
0.11259,0.27358,-1.01857,0.01213,0.02093,1.04679
0.02843,0.10828,-1.0053,0.00184,0.03044,0.60289
-0.05564,-0.21591,-1.00327,0.00999,0.02525,-0.1053
0.34213,0.11845,-1.02836,-0.00595,0.00964,-0.05355
-0.00302,0.15293,-1.0278,0.03041,-0.09781,-0.12485
-0.23942,-0.04932,-0.99101,-0.03317,0.03961,0.04304
0.27791,0.02624,-0.98956,0.01761,-0.00387,0.02382
-0.28656,0.00902,-0.96685,-0.00363,-0.01971,0.02882
0.06803,0.03402,-1.00617,-0.01638,0.08203,-0.01616
0.11584,0.06542,-0.9831,0.03743,-0.02068,-0.01804
-0.24906,-0.02197,-0.97597,-0.0366,0.09425,-0.03106
0.16572,0.1403,-1.0006,0.00359,0.01023,0.04854
-0.17707,-0.05563,-1.01159,-0.00323,-0.00965,0.00049
0.05813,0.05221,-1.00964,0.01011,0.02339,0.00345
0.01224,0.00454,-1.00406,0.00721,0.00815,0.01074
-0.06272,0.00027,-1.00177,0.00244,0.01567,-0.00402
-0.01527,0.02411,-0.99941,0.00429,0.0083,0.00356
-0.00474,0.01685,-1.00101,0.00702,0.00266,-0.00925
-0.02225,0.01833,-1.00233,0.00838,0.0043,-0.00262
