X,Y
-0.01488,0.78143
-0.01497,0.78443
-0.01504,0.78749
-0.01508,0.79057
-0.01509,0.79356
-0.0152,0.7966
-0.01526,0.79987
-0.01524,0.80324
-0.01526,0.80659
-0.01526,0.80977
-0.01531,0.81298
-0.01545,0.81619
-0.01561,0.81943
-0.01573,0.82279
-0.01582,0.8261
-0.01586,0.82921
-0.01588,0.83237
-0.01585,0.83558
-0.01584,0.83865
-0.016,0.84172
-0.0162,0.84477
-0.01631,0.85092
-0.01631,0.85092
-0.01639,0.85392
-0.01661,0.8597
-0.01672,0.8626
-0.01683,0.86565
-0.01684,0.86891
-0.01682,0.8722
-0.0169,0.87544
-0.01703,0.87864
-0.0172,0.88192
-0.01741,0.88512
-0.01759,0.89159
-0.01784,0.89796
-0.01805,0.90107
-0.01805,0.90107
-0.01844,0.90726
-0.01856,0.9103
-0.01858,0.91321
-0.01861,0.91588
-0.01862,0.91826
-0.01871,0.92025
-0.01876,0.92139
-0.0186,0.92127
-0.01842,0.92043
-0.0182,0.91928
-0.01806,0.91801
-0.01799,0.91663
-0.01804,0.91529
-0.01811,0.91402
-0.01814,0.91289
-0.01805,0.91183
-0.01794,0.91084
-0.01791,0.90996
-0.0178,0.90907
-0.01775,0.90819
-0.01778,0.90735
-0.01773,0.90656
-0.01764,0.90581
-0.01749,0.90519
-0.01741,0.90411
-0.01741,0.90361
-0.01741,0.90312
-0.01738,0.90275
-0.01738,0.90245
-0.0174,0.90217
-0.01737,0.90196
-0.01726,0.9017
-0.01722,0.90154
-0.01723,0.90148
-0.01725,0.9014
-0.01726,0.90136
-0.01716,0.90146
-0.01699,0.90204
-0.01682,0.90322
-0.01665,0.90508
-0.01654,0.90754
-0.01635,0.91021
-0.0161,0.91269
-0.01576,0.91474
-0.01536,0.91615
-0.01494,0.91674
-0.01478,0.91674
-0.01489,0.91653
-0.01502,0.9165
-0.01502,0.91691
-0.01475,0.91926
-0.01453,0.9207
-0.01424,0.92164
-0.01385,0.92202
-0.01328,0.92247
-0.0123,0.92394
-0.01107,0.92674
-0.01006,0.93003
-0.00998,0.93283
-0.01121,0.93526
-0.01243,0.93741
-0.01271,0.93993
-0.01208,0.94236
-0.01082,0.94414
-0.00982,0.94541
-0.009,0.94665
-0.00825,0.94811
-0.00755,0.94967
-0.00637,0.95086
-0.0053,0.9516
-0.0044,0.95251
-0.00327,0.95386
-0.00239,0.9556
-0.00176,0.95729
-0.0015,0.95885
-0.00166,0.96004
-0.00178,0.96117
-0.00163,0.96264
-0.0015,0.96459
-0.00116,0.96666
-0.00085,0.96839
-0.0023,0.97105
-0.00408,0.97313
-0.006,0.97565
-0.00748,0.97795
-0.00831,0.97971
-0.00866,0.98101
-0.00915,0.98224
-0.0105,0.98397
-0.01218,0.9862
-0.01386,0.98896
-0.01495,0.99162
-0.0153,0.99391
-0.0154,0.99587
-0.01579,0.99769
-0.017,0.99933
-0.01836,1.00043
-0.019,1.00083
-0.01932,1.00061
-0.0195,0.99988
-0.01941,0.99855
-0.02001,0.99738
-0.02195,0.99657
-0.02642,0.99333
-0.02897,0.99018
-0.03296,0.98689
-0.03787,0.98527
-0.04233,0.98261
-0.04565,0.97989
-0.04707,0.97681
-0.04737,0.97487
-0.04676,0.97424
-0.04545,0.97449
-0.04427,0.97509
-0.04276,0.97632
-0.04111,0.97798
-0.03926,0.98031
-0.03683,0.98268
-0.03415,0.98489
-0.03264,0.98668
-0.03189,0.98892
-0.03283,0.99083
-0.03442,0.99304
-0.03586,0.99404
-0.03792,0.99467
-0.03925,0.99519
-0.04001,0.99498
-0.03901,0.99462
-0.03901,0.99462
-0.0362,0.99279
-0.03473,0.99227
-0.03265,0.99143
-0.03058,0.99062
-0.0283,0.98999
-0.02604,0.98929
-0.02378,0.98842
-0.02159,0.98749
-0.02015,0.98595
-0.01894,0.98425
-0.01796,0.98285
-0.01708,0.98204
-0.01646,0.98151
-0.01605,0.98113
-0.01571,0.98081
-0.01539,0.98035
-0.01516,0.97977
-0.01498,0.97925
-0.01488,0.97894
-0.01473,0.9788
-0.01456,0.97885
-0.01442,0.97901
-0.01423,0.97915
-0.01404,0.97932
-0.01387,0.97945
-0.01373,0.97958
-0.01358,0.97973
-0.01345,0.97984
-0.0133,0.97994
-0.01318,0.98002
-0.01312,0.98005
-0.01305,0.98012
-0.01301,0.98027
-0.01295,0.98043
-0.01287,0.98056
-0.01291,0.9807
-0.01288,0.98077
-0.01287,0.98083
-0.01289,0.98092
-0.01291,0.981
-0.01297,0.98105
-0.01302,0.98104
-0.01306,0.9811
-0.01306,0.9811
-0.01318,0.98128
-0.01318,0.98128
-0.01329,0.98143
-0.01333,0.98151
-0.01338,0.98157
-0.01343,0.98164
-0.01349,0.98174
-0.01354,0.98181
-0.01358,0.98188
-0.01363,0.98194
-0.01367,0.98198
-0.01373,0.98204
-0.01379,0.9821
-0.01386,0.98215
-0.01393,0.98221
-0.01399,0.98226
-0.01405,0.9823
-0.0141,0.98234
-0.01415,0.98238
-0.01418,0.98241
-0.01425,0.98244
-0.01428,0.98248
-0.01432,0.98251
-0.01436,0.98253
-0.01439,0.98255
-0.01443,0.98259
-0.01447,0.98264
-0.01451,0.98266
-0.01455,0.98271
-0.01459,0.98273
-0.01463,0.98275
-0.01467,0.98277
-0.01471,0.98278
-0.01474,0.98282
-0.01478,0.98284
-0.01481,0.98288
-0.01484,0.9829
-0.01486,0.98292
-0.01491,0.98297
-0.01494,0.98298
-0.01497,0.98302
-0.01499,0.98302
-0.01502,0.98303
-0.01504,0.98304
-0.01507,0.98307
-0.0151,0.98309
-0.01514,0.9831
-0.01518,0.9831
-0.0152,0.98311
-0.01523,0.98312
-0.01525,0.98313
-0.01527,0.98313
-0.01529,0.98314
-0.0153,0.98315
-0.01533,0.98315
-0.01536,0.98314
-0.01538,0.98315
-0.0154,0.98317
-0.01543,0.98317
-0.01546,0.98316
-0.01548,0.98318
-0.0155,0.98319
-0.01553,0.98319
-0.01554,0.98319
-0.01556,0.9832
-0.01557,0.98321
-0.01559,0.98321
-0.0156,0.98322
-0.01562,0.98324
-0.01563,0.98324
-0.01565,0.98327
-0.01566,0.98325
-0.01568,0.98324
-0.01568,0.98324
-0.0157,0.98323
-0.01573,0.98325
-0.01575,0.98326
-0.01578,0.98329
-0.01578,0.98329
-0.01582,0.98328
-0.01584,0.98326
-0.01586,0.98326
-0.01588,0.98326
-0.01589,0.98327
-0.0159,0.9833
-0.01591,0.9833
-0.01592,0.98331
-0.01593,0.9833
-0.01594,0.9833
-0.01594,0.98329
-0.01595,0.98328
-0.01597,0.98327
-0.01597,0.98327
-0.01599,0.98327
-0.01599,0.98328
-0.016,0.9833
-0.01601,0.98329
-0.01602,0.98331
-0.01602,0.98333
-0.01604,0.98334
-0.01605,0.98333
-0.01606,0.98333
-0.01608,0.98332
-0.0161,0.98332
-0.01611,0.98333
-0.01612,0.98335
-0.01612,0.98336
-0.01613,0.98335
-0.01613,0.98337
-0.01613,0.98337
-0.01614,0.98339
-0.01615,0.98342
-0.01616,0.98342
-0.01618,0.98343
-0.01619,0.98344
-0.01619,0.98342
-0.01619,0.98342
-0.0162,0.98341
-0.0162,0.98341
-0.01621,0.98339
-0.01621,0.98338
-0.01622,0.98334
-0.01622,0.98335
-0.01624,0.98336
-0.01624,0.98335
-0.01626,0.98335
-0.01628,0.98336
-0.0163,0.98336
-0.0163,0.98337
-0.0163,0.98338
-0.0163,0.98337
-0.0163,0.98337
-0.0163,0.98337
-0.0163,0.98337
-0.01631,0.98337
-0.01631,0.98328
-0.01627,0.98324
-0.01599,0.98316
-0.01513,0.98311
-0.01313,0.983
-0.00927,0.9829
-0.00346,0.9827
0.00368,0.98264
0.01159,0.98235
0.02018,0.98258
0.03796,0.98369
0.04604,0.98388
0.0591,0.98401
0.06394,0.98417
0.06792,0.98401
0.07153,0.98391
0.07547,0.984
0.0799,0.98415
0.08523,0.98409
0.09166,0.98402
0.09929,0.98423
0.10761,0.98455
0.11612,0.98478
0.12439,0.98491
0.13205,0.98509
0.13881,0.9852
0.14482,0.98527
0.15012,0.98549
0.15504,0.98581
0.15985,0.98586
0.16495,0.98585
0.17062,0.98582
0.17727,0.98602
0.18471,0.98627
0.19292,0.9862
0.20139,0.98632
0.21008,0.98649
0.21854,0.98659
0.22633,0.98678
0.23339,0.98706
0.23973,0.98723
0.24545,0.98756
0.25093,0.98791
0.2565,0.98789
0.26251,0.98781
0.26928,0.98799
0.27677,0.98817
0.28489,0.98837
0.29362,0.98857
0.30254,0.98866
0.31126,0.98896
0.31968,0.98915
0.32741,0.98948
0.33442,0.98996
0.3475,0.99012
0.35357,0.99052
0.35972,0.9907
0.36608,0.99096
0.37279,0.99122
0.3798,0.9915
0.38701,0.99177
0.39388,0.99184
0.40009,0.99186
0.40573,0.99191
0.41056,0.9921
0.4145,0.99221
0.41777,0.99227
0.42061,0.99236
0.42333,0.99236
0.42632,0.9922
0.42985,0.99225
0.43412,0.99231
0.43894,0.99228
0.44405,0.99233
0.44915,0.99229
0.45378,0.99238
0.45768,0.99253
0.46075,0.99269
0.46335,0.99299
0.46597,0.99311
0.46857,0.99319
0.47117,0.99315
0.47368,0.99307
0.47629,0.99316
0.47891,0.99335
0.48138,0.9934
0.48376,0.99332
0.48609,0.99333
0.48832,0.9934
0.49049,0.99343
0.49261,0.99347
