yaw,pitch,roll
0.98,0.4,0.35
1.18,0.42,0.37
1.2,3.5,0.38
1.07,0.34,0.37
1.07,0.26,0.38
1.14,0.11,0.23
1.1,3.2,0.33
1.87,0.22,0.36
0.91,0.2,0.38
0.81,0.2,0.39
0.81,0.2,0.42
0.93,0.23,0.37
0.96,0.26,0.35
1.02,0.28,0.36
1.14,0.28,0.31
1.16,0.28,0.03
1.15,0.28,0.29
1.17,7.03,4.02
2.48,1.03,2.03
3.87,7.03,0.43
5.31,4.03,4.05
6.77,9.04,1.05
8.22,8.03,9.06
8.91,8.03,7.06
9.18,3.03,8.06
9.15,7.02,8.05
9.17,1.03,5.06
9.12,4.05,6.06
9.12,8.03,4.06
9.11,5.04,2.06
9.1,5.03,9.06
9.13,1.03,2.07
9.12,7.04,4.06
9.13,3.03,6.07
9.13,5.03,2.06
9.14,9.04,1.06
9.12,9.03,8.07
9.12,9.03,8.06
9.12,9.03,6.07
9.13,1.03,5.07
9.1,7.02,2.06
9.13,7.03,0.67
9.13,2.04,7.06
9.13,4.03,5.05
9.12,9.05,1.06
9.13,0.49,0.66
9.12,0.41,0.65
9.13,9.05,6.06
9.14,5.04,6.06
9.13,6.04,8.06
9.13,5.04,7.06
9.12,0.5,0.66
9.11,8.05,0.65
9.13,2.03,0.64
9.12,4.04,6.06
9.15,3.05,1.06
9.12,1.04,0.66
9.09,7.05,4.05
9.09,8.04,7.05
9.11,1.04,4.05
9.11,4.05,3.05
9.11,6.05,2.05
9.1,8.05,2.05
9.11,4.05,1.05
9.1,5.05,2.05
1.0,4.6,5.3
1.13,4.9,4.8
1.27,3.9,3.8
1.41,6.6,3.5
1.56,2.5,2.9
1.7,9.4,2.08
1.78,6.01,9.08
1.78,4.1,1.7
1.78,8.8,0.7
1.78,8.5,1.1
1.79,2.2,3.8
1.79,2.6,2.6
1.78,9.6,3.1
1.79,0.3,3.09
1.79,0.9,0.9
1.79,1.1,3.2
1.79,5.5,2.1
1.78,7.2,2.09
1.78,6.6,1.9
1.78,6.5,1.9
1.79,0.1,1.7
1.79,0.9,1.5
1.79,0.5,1.4
1.79,0.1,1.2
1.78,8.5,0.7
1.79,2.9,1.07
1.79,4.9,0.2
1.78,9.8,0.2
1.78,8.8,0.9
1.78,9.3,0.5
1.78,9.9,1.08
1.78,7.8,0.5
1.78,6.6,0.5
1.79,1.2,0.8
1.79,1.9,0.8
1.79,1.8,0.6
1.79,1.4,1.2
1.79,0.0,5.09
1.79,2.3,1.7
1.79,3.0,3.1
1.79,2.5,1.4
1.79,7.4,1.6
1.79,2.9,1.1
1.79,1.7,2.2
1.78,9.5,2.08
1.78,9.9,2.1
1.78,9.5,2.08
1.79,0.7,2.2
1.78,0.2,2.1
1.64,8.01,7.07
1.51,3.8,0.4
1.37,3.0,8.09
1.22,8.01,2.08
1.08,1.01,5.07
9.5,9.01,3.06
8.98,7.01,4.05
8.84,6.0,6.04
8.83,9.02,1.04
8.85,5.01,4.06
8.9,2.0,1.06
8.9,8.01,1.06
8.9,1.0,4.06
8.89,6.01,4.06
8.89,5.0,5.05
8.88,3.0,7.06
8.87,8.01,5.06
8.89,1.0,4.05
8.84,8.01,6.06
8.88,9.0,7.06
8.89,4.01,0.62
8.89,4.0,9.06
8.89,6.01,0.59
8.89,6.01,0.58
8.89,6.0,9.05
8.89,1.01,0.55
8.85,5.01,8.05
8.87,6.0,4.06
8.96,9.0,1.05
8.92,1.01,2.05
8.89,6.0,6.05
8.88,8.01,5.06
8.88,0.18,0.59
8.88,5.01,0.59
8.89,1.02,2.06
8.9,2.01,6.05
8.89,6.01,7.06
8.89,2.01,7.06
8.89,1.01,8.06
8.89,2.01,9.06
8.88,6.03,2.06
8.85,3.04,2.05
8.9,7.01,5.05
8.9,8.02,7.06
8.91,0.21,0.62
8.86,3.01,1.06
8.89,2.02,0.06
8.89,0.08,0.64
8.91,7.01,4.06
8.9,3.01,3.06
8.89,4.0,7.06
8.88,9.01,0.06
8.88,8.01,1.05
8.88,9.01,2.05
8.89,0.13,0.57
7.96,3.01,6.03
6.66,0.12,0.44
5.26,2.01,6.05
3.83,3.01,3.04
2.36,9.0,7.04
8.98,0.05,0.31
1.52,0.12,0.26
2.4,1.1,0.23
2.91,0.12,0.23
2.92,0.12,0.23
2.91,0.12,0.24
2.92,0.12,0.25
2.93,0.12,0.25
2.93,0.12,0.25
2.96,0.12,0.24
2.96,0.12,0.24
2.96,0.12,0.23
2.96,0.12,0.23
2.95,0.12,0.22
2.95,0.12,0.22
2.95,0.12,0.22
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.22
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.22
2.95,0.12,0.23
2.95,0.12,0.23
2.96,0.12,0.22
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.22
2.95,0.12,0.22
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.23
2.95,0.12,0.22
2.95,0.12,0.22
2.98,0.04,0.18
2.92,0.15,0.17
2.94,0.4,0.27
2.96,0.35,0.38
3.0,2.8,0.36
3.22,0.41,0.33
3.11,0.29,0.35
2.75,0.38,0.33
2.89,0.32,0.37
2.8,3.7,0.39
2.82,0.41,0.36
2.91,0.36,0.39
3.05,0.42,0.41
3.09,0.24,0.32
3.28,0.42,0.35
2.6,6.4,0.03
2.79,0.52,0.36
3.15,0.54,0.37
3.11,0.48,0.38
3.16,0.36,0.43
3.3,4.3,0.04
3.29,0.36,0.45
2.63,0.34,0.47
2.67,0.3,0.49
2.84,0.28,0.54
2.93,0.23,0.53
3.01,0.04,0.42
2.94,0.22,0.04
2.67,0.13,0.47
2.94,0.13,0.51
2.99,0.27,0.49
2.96,0.16,0.48
2.97,0.19,0.51
2.58,0.23,0.44
2.98,0.25,0.47
3.05,0.24,0.46
3.03,0.23,0.44
3.03,0.22,0.44
1.22,6.02,6.03
2.53,1.02,2.04
3.92,1.02,0.54
5.35,9.01,5.05
6.81,5.01,7.06
8.28,3.02,0.54
9.04,9.02,1.05
9.32,0.32,0.58
9.31,3.01,2.04
9.3,2.02,3.06
9.23,5.03,3.06
9.23,8.01,1.06
9.24,6.03,1.06
9.27,2.02,2.07
9.25,4.01,5.06
9.2,8.02,1.07
9.27,0.21,0.69
9.26,0.26,0.68
9.27,6.02,0.07
9.25,7.02,1.06
9.25,5.02,1.06
9.25,5.02,4.06
9.26,2.02,3.06
9.29,3.0,5.06
9.26,3.02,4.06
9.24,2.03,5.06
9.25,4.01,5.05
9.24,9.04,0.51
9.26,8.03,1.06
9.24,8.03,0.67
9.24,8.04,0.57
9.22,6.03,2.06
9.28,1.03,5.06
9.27,0.3,0.64
9.26,5.03,1.06
9.26,9.03,0.71
9.28,3.01,3.06
9.28,0.32,0.61
9.24,8.03,7.06
9.25,6.02,0.58
9.25,9.04,0.58
9.24,2.03,4.06
9.28,1.02,6.05
9.25,3.03,9.05
9.25,1.03,2.06
9.26,8.03,3.05
9.27,6.03,4.05
9.28,0.34,0.57
1.04,9.4,3.5
1.17,9.8,2.6
1.24,9.01,8.08
1.46,2.4,0.7
1.6,8.9,0.7
1.75,0.6,0.6
1.78,6.9,0.4
1.77,5.2,1.06
1.77,9.6,0.7
1.77,2.6,1.4
1.77,7.01,9.07
1.77,5.7,0.7
1.77,3.8,2.07
1.77,5.1,1.08
1.77,4.9,0.5
1.77,8.5,1.8
1.77,8.1,1.1
1.77,4.1,1.1
1.77,2.7,0.9
1.77,0.3,1.08
1.77,4.8,0.9
1.77,3.9,0.6
1.77,5.9,0.8
1.77,4.1,1.1
1.77,4.0,6.07
1.77,6.8,0.3
1.77,6.7,2.3
1.77,7.7,0.7
1.78,4.3,0.9
1.77,6.1,1.4
1.77,4.9,0.3
1.77,5.8,1.1
1.77,6.1,0.9
1.77,5.2,1.1
1.77,4.1,1.2
1.77,4.1,1.4
1.77,1.4,2.7
1.77,1.9,1.08
1.77,0.7,0.1
1.77,5.6,0.6
1.77,5.6,0.2
1.77,6.3,0.2
1.77,5.2,0.5
1.77,5.5,1.2
1.77,5.8,0.7
1.76,9.8,0.4
1.77,0.6,0.7
1.77,2.9,0.7
1.72,3.2,0.3
1.52,2.8,1.2
1.38,2.8,1.8
1.23,8.6,2.5
1.09,1.5,2.5
1.01,8.4,2.2
8.87,7.01,9.04
8.71,4.01,3.03
8.71,7.03,1.03
8.73,4.01,6.04
8.77,9.0,6.04
8.79,9.02,2.05
8.78,6.0,7.05
8.76,3.01,2.06
8.77,2.01,8.04
8.78,6.0,6.05
8.77,7.02,1.05
8.77,8.01,1.05
8.72,4.01,1.05
8.77,3.01,0.52
8.77,8.0,7.05
8.76,8.0,9.05
8.75,9.01,0.52
8.75,7.01,1.05
8.75,8.01,1.05
8.75,2.01,3.05
8.7,8.02,9.05
8.75,1.01,6.05
8.78,2.0,3.05
8.77,8.01,5.05
8.77,3.01,0.53
8.76,5.01,6.05
8.75,7.02,3.06
8.75,9.01,5.05
8.76,7.02,1.06
8.76,2.02,0.62
8.75,2.02,4.06
8.74,9.02,4.06
8.74,9.02,5.06
8.75,6.03,1.07
8.71,5.04,6.06
8.75,4.01,9.06
8.76,0.3,0.71
8.75,8.02,9.06
8.77,6.02,1.05
8.76,5.02,9.06
8.75,0.25,0.61
8.71,0.21,0.62
8.75,4.02,6.06
8.77,4.02,4.05
8.77,1.02,3.06
8.75,4.02,4.06
8.74,7.02,4.06
8.69,8.02,0.06
7.42,5.02,4.04
6.1,5.02,9.05
4.69,5.02,9.05
3.25,1.02,4.04
1.78,9.01,6.03
1.07,0.01,0.19
3.26,0.01,0.12
3.9,0.1,0.12
3.93,0.01,0.12
3.92,0.01,0.12
3.92,0.02,0.11
3.92,0.02,0.11
3.92,0.02,0.01
3.92,0.02,0.01
3.93,0.02,0.01
3.93,0.01,0.01
3.93,0.0,0.01
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.12
3.93,0.0,0.12
3.93,0.0,0.11
3.93,0.0,0.12
3.93,0.0,0.11
3.93,0.0,0.11
3.93,0.0,0.11
3.94,0.0,0.11
3.93,0.0,0.12
3.93,0.0,0.11
3.93,0.0,0.12
3.93,0.0,0.12
