data
"speed:[32, -33, -34, 25], angle:[32670, 6306, 8566, 27705], timestamp:[33210, 33211, 33213, 33214], state:[0, 0, 0, 0]"
"speed:[6, -12, -13, 6], angle:[893, 5487, 7723, 28557], timestamp:[33270, 33271, 33273, 33274], state:[0, 0, 0, 0]"
"speed:[15, -17, -15, 19], angle:[1425, 4847, 7078, 29230], timestamp:[33330, 33331, 33333, 33334], state:[0, 0, 0, 0]"
"speed:[20, -14, -15, 8], angle:[2417, 3807, 6154, 30270], timestamp:[33390, 33391, 33393, 33394], state:[0, 0, 0, 0]"
"speed:[9, -4, -8, 7], angle:[3022, 3300, 5599, 30736], timestamp:[33450, 33451, 33453, 33454], state:[0, 0, 0, 0]"
"speed:[-61, -61, -61, -73], angle:[3120, 2583, 4904, 30660], timestamp:[33510, 33511, 33513, 33514], state:[0, 0, 0, 0]"
"speed:[-98, -82, -80, -86], angle:[30970, 30316, 32460, 26229], timestamp:[33570, 33571, 33573, 33574], state:[0, 0, 0, 0]"
"speed:[-102, -83, -88, -88], angle:[26099, 25656, 27658, 21338], timestamp:[33630, 33631, 33633, 33634], state:[0, 0, 0, 0]"
"speed:[-79, -81, -96, -79], angle:[20913, 20703, 22850, 15979], timestamp:[33690, 33691, 33693, 33694], state:[0, 0, 0, 0]"
"speed:[-109, -103, -99, -91], angle:[15489, 15458, 17789, 10548], timestamp:[33750, 33751, 33753, 33754], state:[0, 0, 0, 0]"
"speed:[-75, -87, -97, -84], angle:[10330, 10029, 12353, 5411], timestamp:[33810, 33811, 33813, 33814], state:[0, 0, 0, 0]"
"speed:[-65, -59, -59, -62], angle:[5511, 4946, 7298, 438], timestamp:[33870, 33871, 33873, 33874], state:[0, 0, 0, 0]"
"speed:[-27, -33, -34, -29], angle:[3337, 2759, 4999, 30953], timestamp:[33930, 33931, 33933, 33934], state:[0, 0, 0, 0]"
"speed:[15, 8, -15, -5], angle:[2863, 2660, 4446, 30315], timestamp:[33990, 33991, 33993, 33994], state:[0, 0, 0, 0]"
"speed:[79, -61, -57, 126], angle:[6850, 1489, 2474, 32547], timestamp:[34050, 34051, 34053, 34054], state:[0, 0, 0, 0]"
"speed:[44, -57, -52, 61], angle:[10348, 30554, 32283, 5313], timestamp:[34110, 34111, 34113, 34114], state:[0, 0, 0, 0]"
"speed:[22, -27, -26, 22], angle:[12386, 28677, 30761, 6940], timestamp:[34170, 34171, 34173, 34174], state:[0, 0, 0, 0]"
"speed:[39, -58, -57, 49], angle:[14198, 26314, 28453, 9443], timestamp:[34230, 34231, 34233, 34234], state:[0, 0, 0, 0]"
"speed:[-7, -25, -23, 30], angle:[16226, 23566, 26094, 12339], timestamp:[34290, 34291, 34293, 34294], state:[0, 0, 0, 0]"
"speed:[14, -35, -36, 26], angle:[17516, 22283, 24683, 13427], timestamp:[34350, 34351, 34353, 34354], state:[0, 0, 0, 0]"
"speed:[35, -50, -34, 52], angle:[19121, 19823, 22965, 15640], timestamp:[34410, 34411, 34413, 34414], state:[0, 0, 0, 0]"
"speed:[13, -11, -10, 22], angle:[20280, 18359, 21920, 17142], timestamp:[34470, 34471, 34473, 34474], state:[0, 0, 0, 0]"
"speed:[21, -30, -32, 32], angle:[21047, 17159, 20933, 18235], timestamp:[34530, 34531, 34533, 34534], state:[0, 0, 0, 0]"
"speed:[18, -21, -15, 26], angle:[22418, 15416, 19557, 19987], timestamp:[34590, 34591, 34593, 34594], state:[0, 0, 0, 0]"
"speed:[4, -11, -8, -3], angle:[22901, 14847, 19156, 20501], timestamp:[34650, 34651, 34653, 34654], state:[0, 0, 0, 0]"
"speed:[16, -15, -7, 13], angle:[23952, 13623, 18148, 21840], timestamp:[34770, 34771, 34773, 34774], state:[0, 0, 0, 0]"
"speed:[9, -10, -8, 7], angle:[24476, 12998, 17718, 22505], timestamp:[34830, 34831, 34833, 34834], state:[0, 0, 0, 0]"
"speed:[22, -15, -16, 14], angle:[25024, 12564, 17188, 23001], timestamp:[34890, 34891, 34893, 34894], state:[0, 0, 0, 0]"
"speed:[62, -76, -63, 96], angle:[29195, 9639, 14779, 25684], timestamp:[34950, 34951, 34953, 34954], state:[0, 0, 0, 0]"
"speed:[67, -53, -53, 48], angle:[259, 5818, 11014, 30164], timestamp:[35010, 35011, 35013, 35014], state:[0, 0, 0, 0]"
"speed:[30, -28, -38, 23], angle:[1667, 4039, 9572, 31537], timestamp:[35070, 35071, 35073, 35074], state:[0, 0, 0, 0]"
"speed:[30, -28, -38, 23], angle:[1667, 4039, 9572, 31537], timestamp:[35070, 35071, 35073, 35074], state:[0, 0, 0, 0]"
"speed:[-19, -22, -15, 22], angle:[6011, 31407, 4802, 3673], timestamp:[35190, 35191, 35193, 35194], state:[0, 0, 0, 0]"
"speed:[21, -35, -40, 27], angle:[6722, 30370, 3686, 4832], timestamp:[35250, 35251, 35253, 35254], state:[0, 0, 0, 0]"
"speed:[45, -37, -47, 57], angle:[8767, 27989, 1231, 7198], timestamp:[35310, 35311, 35313, 35314], state:[0, 0, 0, 0]"
"speed:[17, -29, -8, -3], angle:[9760, 26715, 143, 8221], timestamp:[35370, 35371, 35373, 35374], state:[0, 0, 0, 0]"
"speed:[20, -15, -22, 27], angle:[10457, 26189, 32328, 8865], timestamp:[35430, 35431, 35433, 35434], state:[0, 0, 0, 0]"
"speed:[25, -21, -9, 15], angle:[11970, 25137, 31078, 10136], timestamp:[35490, 35491, 35493, 35494], state:[0, 0, 0, 0]"
"speed:[8, -9, -5, 1], angle:[12514, 24496, 30527, 10588], timestamp:[35550, 35551, 35553, 35554], state:[0, 0, 0, 0]"
"speed:[7, -12, -6, 7], angle:[12997, 24057, 30091, 11131], timestamp:[35610, 35611, 35613, 35614], state:[0, 0, 0, 0]"
"speed:[26, -26, -39, 26], angle:[13868, 23353, 29209, 11810], timestamp:[35670, 35671, 35673, 35674], state:[0, 0, 0, 0]"
"speed:[79, -62, -79, 82], angle:[18072, 19437, 26245, 15020], timestamp:[35730, 35731, 35733, 35734], state:[0, 0, 0, 0]"
"speed:[38, -33, -26, 57], angle:[21641, 15935, 22893, 18931], timestamp:[35790, 35791, 35793, 35794], state:[0, 0, 0, 0]"
"speed:[22, -28, -34, 32], angle:[23267, 14018, 21237, 20839], timestamp:[35850, 35851, 35853, 35854], state:[0, 0, 0, 0]"
"speed:[65, -55, -50, 56], angle:[25966, 11415, 18491, 24168], timestamp:[35910, 35911, 35913, 35914], state:[0, 0, 0, 0]"
"speed:[6, -14, -14, 17], angle:[27909, 9400, 16567, 26210], timestamp:[35970, 35971, 35973, 35974], state:[0, 0, 0, 0]"
"speed:[35, -48, -38, 49], angle:[28874, 8175, 15600, 27228], timestamp:[36030, 36031, 36033, 36034], state:[0, 0, 0, 0]"
"speed:[33, -28, -28, 27], angle:[31141, 5670, 13221, 29819], timestamp:[36090, 36091, 36093, 36094], state:[0, 0, 0, 0]"
"speed:[3, -25, -27, 5], angle:[31941, 4826, 12462, 30627], timestamp:[36150, 36151, 36153, 36154], state:[0, 0, 0, 0]"
"speed:[11, -21, -19, 14], angle:[32583, 3922, 11615, 31375], timestamp:[36210, 36211, 36213, 36214], state:[0, 0, 0, 0]"
"speed:[13, -13, -10, 2], angle:[540, 3173, 10892, 32088], timestamp:[36270, 36271, 36273, 36274], state:[0, 0, 0, 0]"
"speed:[16, -11, -9, 13], angle:[977, 2625, 10420, 32551], timestamp:[36330, 36331, 36333, 36334], state:[0, 0, 0, 0]"
"speed:[-20, -62, -64, -60], angle:[1408, 2006, 9784, 176], timestamp:[36390, 36391, 36393, 36394], state:[0, 0, 0, 0]"
"speed:[-89, -94, -84, -82], angle:[29655, 30082, 5036, 28811], timestamp:[36450, 36451, 36453, 36454], state:[0, 0, 0, 0]"
"speed:[-101, -98, -85, -89], angle:[25037, 25386, 149, 23905], timestamp:[36510, 36511, 36513, 36514], state:[0, 0, 0, 0]"
"speed:[-96, -89, -83, -88], angle:[19844, 20617, 28023, 18598], timestamp:[36570, 36571, 36573, 36574], state:[0, 0, 0, 0]"
"speed:[-109, -99, -77, -107], angle:[14395, 15285, 23150, 13170], timestamp:[36630, 36631, 36633, 36634], state:[0, 0, 0, 0]"
