yaw,pitch,roll
"yaw:0.02, pitch:-0.28, roll:-0.36 ",,
"yaw:0.03, pitch:-0.28, roll:-0.36 ",,
"yaw:0.03, pitch:-0.28, roll:-0.36 ",,
"yaw:0.02, pitch:-0.28, roll:-0.36 ",,
"yaw:0.03, pitch:-0.28, roll:-0.36 ",,
"yaw:0.03, pitch:-0.29, roll:-0.36 ",,
"yaw:0.03, pitch:-0.29, roll:-0.36 ",,
"yaw:0.03, pitch:-0.29, roll:-0.36 ",,
"yaw:0.02, pitch:-0.28, roll:-0.36 ",,
"yaw:0.02, pitch:-0.29, roll:-0.36 ",,
"yaw:0.03, pitch:-0.29, roll:-0.36 ",,
"yaw:-0.03, pitch:-0.21, roll:-0.29 ",,
"yaw:0.14, pitch:-0.25, roll:-0.34 ",,
"yaw:0.09, pitch:-0.46, roll:-0.32 ",,
"yaw:-0.05, pitch:-0.38, roll:-0.37 ",,
"yaw:0.03, pitch:-0.4, roll:-0.34 ",,
"yaw:0.14, pitch:-0.53, roll:-0.36 ",,
"yaw:-0.06, pitch:-0.35, roll:-0.32 ",,
"yaw:-0.06, pitch:-0.54, roll:-0.32 ",,
"yaw:-0.04, pitch:-0.52, roll:-0.38 ",,
"yaw:-0.08, pitch:-0.54, roll:-0.36 ",,
"yaw:-0.04, pitch:-0.54, roll:-0.35 ",,
"yaw:0.02, pitch:-0.54, roll:-0.36 ",,
"yaw:0.15, pitch:-0.55, roll:-0.38 ",,
"yaw:-0.01, pitch:-0.39, roll:-0.25 ",,
"yaw:0.14, pitch:-0.44, roll:-0.36 ",,
"yaw:0.03, pitch:-0.72, roll:-0.33 ",,
"yaw:0.12, pitch:-0.58, roll:-0.34 ",,
"yaw:0.16, pitch:-0.63, roll:-0.36 ",,
"yaw:0.1, pitch:-0.59, roll:-0.37 ",,
"yaw:0.16, pitch:-0.42, roll:-0.48 ",,
"yaw:0.14, pitch:-0.56, roll:-0.4 ",,
"yaw:0.45, pitch:-0.48, roll:-0.43 ",,
"yaw:-0.1, pitch:-0.48, roll:-0.36 ",,
"yaw:-0.03, pitch:-0.45, roll:-0.37 ",,
"yaw:0.01, pitch:-0.44, roll:-0.41 ",,
"yaw:0.03, pitch:-0.41, roll:-0.44 ",,
"yaw:0.14, pitch:-0.19, roll:-0.35 ",,
"yaw:0.04, pitch:-0.28, roll:-0.35 ",,
"yaw:-0.0, pitch:-0.35, roll:-0.34 ",,
"yaw:0.04, pitch:-0.14, roll:-0.35 ",,
"yaw:0.23, pitch:-0.31, roll:-0.38 ",,
"yaw:0.09, pitch:-0.2, roll:-0.37 ",,
"yaw:-0.03, pitch:-0.28, roll:-0.38 ",,
"yaw:-0.1, pitch:-0.32, roll:-0.33 ",,
"yaw:-0.12, pitch:-0.33, roll:-0.4 ",,
"yaw:-0.2, pitch:-0.34, roll:-0.38 ",,
"yaw:-0.17, pitch:-0.32, roll:-0.37 ",,
"yaw:0.4, pitch:-0.32, roll:-0.31 ",,
"yaw:13.2, pitch:-0.3, roll:-0.32 ",,
"yaw:26.38, pitch:-0.32, roll:-0.48 ",,
"yaw:40.4, pitch:-0.33, roll:-0.53 ",,
"yaw:54.84, pitch:-0.35, roll:-0.59 ",,
"yaw:69.46, pitch:-0.41, roll:-0.64 ",,
"yaw:83.13, pitch:-0.36, roll:-0.69 ",,
"yaw:88.87, pitch:-0.32, roll:-0.7 ",,
"yaw:89.79, pitch:-0.32, roll:-0.68 ",,
"yaw:90.16, pitch:-0.23, roll:-0.6 ",,
"yaw:89.63, pitch:-0.47, roll:-0.73 ",,
"yaw:88.85, pitch:-0.41, roll:-0.77 ",,
"yaw:89.32, pitch:-0.27, roll:-0.73 ",,
"yaw:89.2, pitch:-0.44, roll:-0.7 ",,
"yaw:89.26, pitch:-0.35, roll:-0.74 ",,
"yaw:89.6, pitch:-0.4, roll:-0.74 ",,
"yaw:89.37, pitch:-0.38, roll:-0.7 ",,
"yaw:89.63, pitch:-0.31, roll:-0.69 ",,
"yaw:89.58, pitch:-0.4, roll:-0.66 ",,
"yaw:89.67, pitch:-0.36, roll:-0.66 ",,
"yaw:89.87, pitch:-0.38, roll:-0.71 ",,
"yaw:89.53, pitch:-0.38, roll:-0.7 ",,
"yaw:89.39, pitch:-0.38, roll:-0.68 ",,
"yaw:89.4, pitch:-0.33, roll:-0.68 ",,
"yaw:89.77, pitch:-0.2, roll:-0.61 ",,
"yaw:89.43, pitch:-0.49, roll:-0.64 ",,
"yaw:89.25, pitch:-0.37, roll:-0.68 ",,
"yaw:89.31, pitch:-0.29, roll:-0.67 ",,
"yaw:89.13, pitch:-0.45, roll:-0.64 ",,
"yaw:89.12, pitch:-0.34, roll:-0.74 ",,
"yaw:89.59, pitch:-0.4, roll:-0.72 ",,
"yaw:89.79, pitch:-0.4, roll:-0.71 ",,
"yaw:89.71, pitch:-0.36, roll:-0.75 ",,
"yaw:89.38, pitch:-0.41, roll:-0.78 ",,
"yaw:89.45, pitch:-0.36, roll:-0.77 ",,
"yaw:89.41, pitch:-0.36, roll:-0.74 ",,
"yaw:89.42, pitch:-0.27, roll:-0.78 ",,
"yaw:89.4, pitch:-0.37, roll:-0.66 ",,
"yaw:89.66, pitch:-0.48, roll:-0.64 ",,
"yaw:89.48, pitch:-0.34, roll:-0.63 ",,
"yaw:89.27, pitch:-0.48, roll:-0.62 ",,
"yaw:89.25, pitch:-0.45, roll:-0.68 ",,
"yaw:89.32, pitch:-0.4, roll:-0.61 ",,
"yaw:89.22, pitch:-0.52, roll:-0.57 ",,
"yaw:89.25, pitch:-0.46, roll:-0.58 ",,
"yaw:89.46, pitch:-0.49, roll:-0.58 ",,
"yaw:89.55, pitch:-0.48, roll:-0.59 ",,
"yaw:89.47, pitch:-0.47, roll:-0.6 ",,
"yaw:94.75, pitch:-0.45, roll:-0.48 ",,
"yaw:107.98, pitch:-0.41, roll:-0.63 ",,
"yaw:121.61, pitch:-0.37, roll:-0.87 ",,
"yaw:135.82, pitch:-0.29, roll:-0.94 ",,
"yaw:150.29, pitch:-0.24, roll:-0.92 ",,
"yaw:165.0, pitch:-0.18, roll:-0.86 ",,
"yaw:175.24, pitch:-0.12, roll:-0.82 ",,
"yaw:179.77, pitch:-0.09, roll:-0.75 ",,
"yaw:179.24, pitch:-0.12, roll:-0.63 ",,
"yaw:179.42, pitch:0.0, roll:-0.74 ",,
"yaw:179.36, pitch:-0.26, roll:-0.77 ",,
"yaw:179.42, pitch:-0.23, roll:-0.88 ",,
"yaw:179.32, pitch:-0.1, roll:-0.86 ",,
"yaw:179.26, pitch:-0.33, roll:-0.84 ",,
"yaw:179.3, pitch:-0.28, roll:-0.91 ",,
"yaw:179.49, pitch:-0.35, roll:-0.95 ",,
"yaw:179.46, pitch:-0.24, roll:-0.96 ",,
"yaw:179.54, pitch:-0.22, roll:-0.87 ",,
"yaw:179.65, pitch:-0.23, roll:-0.85 ",,
"yaw:179.36, pitch:-0.18, roll:-0.88 ",,
