data
"acc_x:0.0, acc_y:0.0, acc_z:0.0, gyro_x:0.0, gyro_y:0.0, gyro_z:0.0"
"acc_x:-0.09838, acc_y:0.00577, acc_z:-1.00339, gyro_x:0.0122, gyro_y:0.00099, gyro_z:-0.0165"
"acc_x:-0.00046, acc_y:0.02934, acc_z:-1.00301, gyro_x:0.00446, gyro_y:0.00587, gyro_z:-0.01505"
"acc_x:-0.05586, acc_y:-0.18499, acc_z:-0.96183, gyro_x:0.05806, gyro_y:0.04225, gyro_z:0.53424"
"acc_x:0.03702, acc_y:0.04071, acc_z:-1.00954, gyro_x:0.05661, gyro_y:0.06147, gyro_z:2.26185"
"acc_x:0.01975, acc_y:-0.02395, acc_z:-1.02206, gyro_x:-0.06037, gyro_y:-0.0576, gyro_z:2.40645"
"acc_x:0.06228, acc_y:-0.03456, acc_z:-1.01357, gyro_x:-0.03826, gyro_y:-0.05492, gyro_z:2.4998"
"acc_x:0.08644, acc_y:-0.03573, acc_z:-1.01639, gyro_x:-0.03828, gyro_y:-0.02818, gyro_z:2.59424"
"acc_x:0.07753, acc_y:-0.00094, acc_z:-1.03252, gyro_x:-0.01252, gyro_y:-0.02116, gyro_z:2.54659"
"acc_x:0.14483, acc_y:0.27828, acc_z:-0.99326, gyro_x:-0.01197, gyro_y:0.05992, gyro_z:1.76321"
"acc_x:0.01845, acc_y:0.09181, acc_z:-1.00778, gyro_x:-0.016, gyro_y:0.05561, gyro_z:0.81532"
"acc_x:-0.05685, acc_y:-0.13498, acc_z:-0.97461, gyro_x:-0.01454, gyro_y:0.07352, gyro_z:-0.08902"
"acc_x:0.2854, acc_y:0.0923, acc_z:-1.02726, gyro_x:0.06951, gyro_y:0.01856, gyro_z:0.05233"
"acc_x:-0.09355, acc_y:0.02895, acc_z:-0.96499, gyro_x:0.03215, gyro_y:-0.1182, gyro_z:-0.16274"
"acc_x:-0.16542, acc_y:-0.09974, acc_z:-1.01769, gyro_x:-0.00237, gyro_y:-0.00798, gyro_z:0.00784"
"acc_x:0.23539, acc_y:0.08785, acc_z:-1.02022, gyro_x:-0.02605, gyro_y:0.02654, gyro_z:0.0125"
"acc_x:-0.28342, acc_y:-0.03064, acc_z:-1.00092, gyro_x:0.01088, gyro_y:0.01042, gyro_z:-0.05406"
"acc_x:-0.01496, acc_y:0.00615, acc_z:-1.00389, gyro_x:0.02565, gyro_y:-0.03383, gyro_z:0.03647"
"acc_x:-0.15891, acc_y:0.00502, acc_z:-0.99034, gyro_x:-0.02411, gyro_y:0.04747, gyro_z:-0.07715"
"acc_x:0.16712, acc_y:0.02752, acc_z:-1.0079, gyro_x:0.00271, gyro_y:0.00018, gyro_z:0.069"
"acc_x:-0.20181, acc_y:0.02707, acc_z:-1.00277, gyro_x:0.00195, gyro_y:-0.02564, gyro_z:-0.01756"
"acc_x:0.02954, acc_y:-0.01039, acc_z:-1.00724, gyro_x:0.01141, gyro_y:-0.00223, gyro_z:0.11204"
"acc_x:0.02171, acc_y:0.02604, acc_z:-0.99984, gyro_x:-0.00558, gyro_y:0.00491, gyro_z:-0.05625"
"acc_x:-0.02311, acc_y:0.00807, acc_z:-1.00226, gyro_x:0.00672, gyro_y:0.00789, gyro_z:-0.05462"
"acc_x:-0.02235, acc_y:-0.01836, acc_z:-1.00446, gyro_x:0.00998, gyro_y:0.01704, gyro_z:-0.01729"
"acc_x:0.09331, acc_y:0.00638, acc_z:-0.99769, gyro_x:-0.00992, gyro_y:0.03787, gyro_z:-0.03727"
"acc_x:0.31266, acc_y:0.03438, acc_z:-1.01657, gyro_x:0.00041, gyro_y:0.01239, gyro_z:0.01779"
"acc_x:-0.26053, acc_y:0.02, acc_z:-0.94993, gyro_x:0.04175, gyro_y:-0.031, gyro_z:-0.05254"
"acc_x:-0.1018, acc_y:-0.06242, acc_z:-1.00693, gyro_x:-0.02906, gyro_y:0.02148, gyro_z:0.00043"
"acc_x:0.22852, acc_y:0.04533, acc_z:-1.01119, gyro_x:-0.02458, gyro_y:-0.01683, gyro_z:-0.03732"
"acc_x:-0.35861, acc_y:-0.00995, acc_z:-0.99311, gyro_x:0.02362, gyro_y:0.00831, gyro_z:-0.0258"
"acc_x:0.17356, acc_y:-0.0012, acc_z:-1.00139, gyro_x:0.0026, gyro_y:0.02632, gyro_z:0.0733"
"acc_x:-0.07359, acc_y:-0.00637, acc_z:-1.02827, gyro_x:0.01805, gyro_y:-0.02179, gyro_z:0.05969"
"acc_x:-0.20722, acc_y:-0.00307, acc_z:-0.99197, gyro_x:-0.02672, gyro_y:0.00024, gyro_z:0.0251"
"acc_x:0.12792, acc_y:0.01831, acc_z:-1.00554, gyro_x:-0.00391, gyro_y:-0.00977, gyro_z:-0.06406"
"acc_x:-0.1204, acc_y:0.03071, acc_z:-0.98973, gyro_x:-0.00443, gyro_y:0.0029, gyro_z:-0.08723"
"acc_x:-0.015, acc_y:-0.00658, acc_z:-1.00062, gyro_x:0.00781, gyro_y:0.01133, gyro_z:-0.00881"
"acc_x:-0.01192, acc_y:0.0038, acc_z:-1.0034, gyro_x:0.01252, gyro_y:0.00488, gyro_z:0.00271"
"acc_x:0.19719, acc_y:0.00882, acc_z:-1.00675, gyro_x:-0.00197, gyro_y:0.04476, gyro_z:0.01776"
"acc_x:0.24285, acc_y:-0.00259, acc_z:-1.00115, gyro_x:-0.03602, gyro_y:0.00209, gyro_z:-0.00313"
"acc_x:-0.34196, acc_y:0.02382, acc_z:-0.93832, gyro_x:0.05431, gyro_y:-0.02773, gyro_z:0.01592"
"acc_x:0.04821, acc_y:0.0195, acc_z:-1.02545, gyro_x:-0.03761, gyro_y:0.0044, gyro_z:-0.03846"
"acc_x:0.04157, acc_y:-0.02378, acc_z:-1.00031, gyro_x:-0.01295, gyro_y:-0.01809, gyro_z:-0.00315"
"acc_x:-0.33177, acc_y:-0.00567, acc_z:-1.01051, gyro_x:-0.02168, gyro_y:0.02231, gyro_z:-0.02947"
"acc_x:0.31019, acc_y:0.04035, acc_z:-1.00471, gyro_x:0.02379, gyro_y:0.03194, gyro_z:-0.03227"
"acc_x:-0.23949, acc_y:0.006, acc_z:-0.97746, gyro_x:0.02348, gyro_y:-0.02446, gyro_z:0.04006"
"acc_x:-0.02138, acc_y:-0.15789, acc_z:-1.01275, gyro_x:0.01028, gyro_y:0.00636, gyro_z:0.19881"
"acc_x:0.01386, acc_y:-0.00982, acc_z:-1.00124, gyro_x:0.00503, gyro_y:0.01856, gyro_z:0.01887"
"acc_x:-0.06837, acc_y:-7e-05, acc_z:-0.99988, gyro_x:0.01021, gyro_y:0.0135, gyro_z:0.04336"
"acc_x:-0.00397, acc_y:0.01181, acc_z:-1.00243, gyro_x:0.00837, gyro_y:0.00644, gyro_z:-0.00644"
"acc_x:-0.0335, acc_y:-0.02053, acc_z:-0.99616, gyro_x:0.01165, gyro_y:0.01125, gyro_z:0.06059"
"acc_x:0.08091, acc_y:0.10246, acc_z:-1.01325, gyro_x:0.01719, gyro_y:0.07136, gyro_z:2.19186"
"acc_x:-0.02124, acc_y:-0.04539, acc_z:-1.05488, gyro_x:-0.01911, gyro_y:-0.11752, gyro_z:2.36707"
"acc_x:0.02209, acc_y:-0.02223, acc_z:-1.03243, gyro_x:-0.0683, gyro_y:-0.08944, gyro_z:2.52791"
"acc_x:0.05074, acc_y:-0.06094, acc_z:-1.01408, gyro_x:0.00892, gyro_y:-0.09557, gyro_z:2.63922"
"acc_x:0.05689, acc_y:-0.04951, acc_z:-0.9966, gyro_x:0.03046, gyro_y:-0.03059, gyro_z:2.63438"
"acc_x:0.08647, acc_y:0.12529, acc_z:-1.01058, gyro_x:0.05544, gyro_y:-0.06292, gyro_z:2.17542"
"acc_x:0.00075, acc_y:0.07759, acc_z:-1.01203, gyro_x:0.01245, gyro_y:0.00637, gyro_z:0.87871"
"acc_x:0.04716, acc_y:0.14665, acc_z:-1.01121, gyro_x:0.07571, gyro_y:-0.02846, gyro_z:-0.34011"
"acc_x:0.27235, acc_y:0.0742, acc_z:-0.98536, gyro_x:0.00079, gyro_y:0.05061, gyro_z:0.12422"
"acc_x:0.16593, acc_y:0.09959, acc_z:-1.0168, gyro_x:-0.0296, gyro_y:-0.04071, gyro_z:0.0361"
"acc_x:-0.36373, acc_y:-0.00775, acc_z:-0.99873, gyro_x:0.00742, gyro_y:-0.00401, gyro_z:-0.00389"
"acc_x:0.26521, acc_y:-0.00307, acc_z:-0.98403, gyro_x:0.06769, gyro_y:0.05597, gyro_z:-0.04331"
"acc_x:-0.11003, acc_y:0.03643, acc_z:-0.98102, gyro_x:0.03361, gyro_y:-0.0253, gyro_z:0.0406"
"acc_x:0.02325, acc_y:0.04685, acc_z:-1.00762, gyro_x:-0.0647, gyro_y:0.01567, gyro_z:-0.00931"
"acc_x:-0.03408, acc_y:0.00621, acc_z:-1.0064, gyro_x:-0.00139, gyro_y:0.0031, gyro_z:0.09006"
"acc_x:-0.14493, acc_y:-0.02848, acc_z:-0.99937, gyro_x:0.00147, gyro_y:0.02777, gyro_z:-0.00116"
